location;date;week;total_deaths;new_deaths;total_deaths_per_million;new_deaths_per_million
China;07/03/2021;2021-W10;4848;5;3.4;0
Germany;07/03/2021;2021-W10;78519;1049;933.79;12.48
India;07/03/2021;2021-W10;157756;705;110.67;0.5
United States;07/03/2021;2021-W10;530299;10446;1552.7;30.59
China;14/03/2021;2021-W11;4849;1;3.4;0
Germany;14/03/2021;2021-W11;79623;1104;946.92;13.13
India;14/03/2021;2021-W11;158607;851;111.27;0.6
United States;14/03/2021;2021-W11;538858;8559;1577.76;25.06
China;21/03/2021;2021-W12;4849;0;3.4;0
Germany;21/03/2021;2021-W12;80900;1277;962.11;15.19
India;21/03/2021;2021-W12;159755;1148;112.08;0.8
United States;21/03/2021;2021-W12;545122;6264;1596.1;18.34
China;28/03/2021;2021-W13;4851;2;3.4;0
Germany;28/03/2021;2021-W13;82426;1526;980.26;18.15
India;28/03/2021;2021-W13;161552;1797;113.34;1.26
United States;28/03/2021;2021-W13;551233;6111;1613.99;17.89
China;04/04/2021;2021-W14;4851;0;3.4;0
Germany;04/04/2021;2021-W14;84016;1590;999.16;18.91
India;04/04/2021;2021-W14;164623;3071;115.49;2.15
United States;04/04/2021;2021-W14;556585;5352;1629.66;15.67
China;11/04/2021;2021-W15;4853;2;3.4;0
Germany;11/04/2021;2021-W15;85598;1582;1017.98;18.81
India;11/04/2021;2021-W15;169275;4652;118.75;3.26
United States;11/04/2021;2021-W15;561488;4903;1644.02;14.36
China;18/04/2021;2021-W16;4856;3;3.41;0
Germany;18/04/2021;2021-W16;87225;1627;1037.33;19.35
India;18/04/2021;2021-W16;177150;7875;124.28;5.52
United States;18/04/2021;2021-W16;566363;4875;1658.29;14.27
China;25/04/2021;2021-W17;4856;0;3.41;0
Germany;25/04/2021;2021-W17;88847;1622;1056.62;19.29
India;25/04/2021;2021-W17;192311;15161;134.92;10.64
United States;25/04/2021;2021-W17;571084;4721;1672.11;13.82
China;02/05/2021;2021-W18;4858;2;3.41;0
Germany;02/05/2021;2021-W18;90154;1307;1072.16;15.54
India;02/05/2021;2021-W18;215542;23231;151.21;16.3
United States;02/05/2021;2021-W18;575577;4493;1685.27;13.16
China;09/05/2021;2021-W19;4858;0;3.41;0
Germany;09/05/2021;2021-W19;91164;1010;1084.17;12.01
India;09/05/2021;2021-W19;242362;26820;170.03;18.82
United States;09/05/2021;2021-W19;580028;4451;1698.3;13.03
China;16/05/2021;2021-W20;4858;0;3.41;0
Germany;16/05/2021;2021-W20;91840;676;1092.21;8.04
India;16/05/2021;2021-W20;270284;27922;189.62;19.59
United States;16/05/2021;2021-W20;584001;3973;1709.94;11.63
China;23/05/2021;2021-W21;4869;11;3.42;0.01
Germany;23/05/2021;2021-W21;92288;448;1097.54;5.33
India;23/05/2021;2021-W21;299266;28982;209.95;20.33
United States;23/05/2021;2021-W21;587625;3624;1720.55;10.61
China;30/05/2021;2021-W22;4955;86;3.48;0.06
Germany;30/05/2021;2021-W22;92549;261;1100.64;3.1
India;30/05/2021;2021-W22;325972;26706;228.68;18.74
United States;30/05/2021;2021-W22;591159;3534;1730.89;10.35
China;06/06/2021;2021-W23;5106;151;3.58;0.11
Germany;06/06/2021;2021-W23;92690;141;1102.32;1.68
India;06/06/2021;2021-W23;346759;20787;243.27;14.58
United States;06/06/2021;2021-W23;593834;2675;1738.73;7.83
China;13/06/2021;2021-W24;5283;177;3.71;0.12
Germany;13/06/2021;2021-W24;92757;67;1103.12;0.8
India;13/06/2021;2021-W24;370384;23625;259.84;16.57
United States;13/06/2021;2021-W24;596458;2624;1746.41;7.68
China;20/06/2021;2021-W25;5395;112;3.78;0.08
Germany;20/06/2021;2021-W25;92804;47;1103.68;0.56
India;20/06/2021;2021-W25;386713;16329;271.3;11.46
United States;20/06/2021;2021-W25;598220;1762;1751.57;5.16
China;27/06/2021;2021-W26;5478;83;3.84;0.06
Germany;27/06/2021;2021-W26;92834;30;1104.03;0.36
India;27/06/2021;2021-W26;395751;9038;277.64;6.34
United States;27/06/2021;2021-W26;600321;2101;1757.72;6.15
China;04/07/2021;2021-W27;5535;57;3.88;0.04
Germany;04/07/2021;2021-W27;92859;25;1104.33;0.3
India;04/07/2021;2021-W27;402005;6254;282.02;4.39
United States;04/07/2021;2021-W27;602038;1717;1762.75;5.03
China;11/07/2021;2021-W28;5588;53;3.92;0.04
Germany;11/07/2021;2021-W28;92884;25;1104.63;0.3
India;11/07/2021;2021-W28;408040;6035;286.26;4.23
United States;11/07/2021;2021-W28;603547;1509;1767.16;4.42
China;18/07/2021;2021-W29;5616;28;3.94;0.02
Germany;18/07/2021;2021-W29;92914;30;1104.98;0.36
India;18/07/2021;2021-W29;413609;5569;290.17;3.91
United States;18/07/2021;2021-W29;605478;1931;1772.82;5.65
China;25/07/2021;2021-W30;5634;18;3.95;0.01
Germany;25/07/2021;2021-W30;92954;40;1105.46;0.48
India;25/07/2021;2021-W30;420551;6942;295.04;4.87
United States;25/07/2021;2021-W30;607562;2084;1778.92;6.1
China;01/08/2021;2021-W31;5637;3;3.96;0
Germany;01/08/2021;2021-W31;93026;72;1106.32;0.86
India;01/08/2021;2021-W31;424351;3800;297.7;2.67
United States;01/08/2021;2021-W31;610489;2927;1787.49;8.57
China;08/08/2021;2021-W32;5657;20;3.97;0.01
Germany;08/08/2021;2021-W32;93115;89;1107.38;1.06
India;08/08/2021;2021-W32;427862;3511;300.17;2.46
United States;08/08/2021;2021-W32;614942;4453;1800.53;13.04
China;15/08/2021;2021-W33;5669;12;3.98;0.01
Germany;15/08/2021;2021-W33;93259;144;1109.09;1.71
India;15/08/2021;2021-W33;431225;3363;302.52;2.36
United States;15/08/2021;2021-W33;620579;5637;1817.03;16.5
China;22/08/2021;2021-W34;5676;7;3.98;0
Germany;22/08/2021;2021-W34;93483;224;1111.75;2.66
India;22/08/2021;2021-W34;434367;3142;304.73;2.2
United States;22/08/2021;2021-W34;628634;8055;1840.62;23.58
China;29/08/2021;2021-W35;5682;6;3.99;0
Germany;29/08/2021;2021-W35;93834;351;1115.93;4.17
India;29/08/2021;2021-W35;437830;3463;307.16;2.43
United States;29/08/2021;2021-W35;638817;10183;1870.43;29.82
China;05/09/2021;2021-W36;5685;3;3.99;0
Germany;05/09/2021;2021-W36;94266;432;1121.06;5.14
India;05/09/2021;2021-W36;440533;2703;309.05;1.9
United States;05/09/2021;2021-W36;650526;11709;1904.72;34.28
China;12/09/2021;2021-W37;5687;2;3.99;0
Germany;12/09/2021;2021-W37;94715;449;1126.4;5.34
India;12/09/2021;2021-W37;442655;2122;310.54;1.49
United States;12/09/2021;2021-W37;662611;12085;1940.1;35.38
China;19/09/2021;2021-W38;5689;2;3.99;0
Germany;19/09/2021;2021-W38;95100;385;1130.98;4.58
India;19/09/2021;2021-W38;444838;2183;312.07;1.53
United States;19/09/2021;2021-W38;676201;13590;1979.89;39.79
China;26/09/2021;2021-W39;5690;1;3.99;0
Germany;26/09/2021;2021-W39;95454;354;1135.19;4.21
India;26/09/2021;2021-W39;446918;2080;313.53;1.46
United States;26/09/2021;2021-W39;689585;13384;2019.08;39.19
China;03/10/2021;2021-W40;5692;2;3.99;0
Germany;03/10/2021;2021-W40;95877;423;1140.22;5.03
India;03/10/2021;2021-W40;448817;1899;314.87;1.33
United States;03/10/2021;2021-W40;702577;12992;2057.12;38.04
China;10/10/2021;2021-W41;5695;3;4;0
Germany;10/10/2021;2021-W41;96366;489;1146.04;5.82
India;10/10/2021;2021-W41;450589;1772;316.11;1.24
United States;10/10/2021;2021-W41;714261;11684;2091.33;34.21
China;17/10/2021;2021-W42;5695;0;4;0
Germany;17/10/2021;2021-W42;96947;581;1152.95;6.91
India;17/10/2021;2021-W42;452124;1535;317.19;1.08
United States;17/10/2021;2021-W42;724723;10462;2121.96;30.63
China;24/10/2021;2021-W43;5695;0;4;0
Germany;24/10/2021;2021-W43;97998;1051;1165.45;12.5
India;24/10/2021;2021-W43;454269;2145;318.69;1.5
United States;24/10/2021;2021-W43;735814;11091;2154.44;32.47
China;31/10/2021;2021-W44;5696;1;4;0
Germany;31/10/2021;2021-W44;99272;1274;1180.6;15.15
India;31/10/2021;2021-W44;458186;3917;321.44;2.75
United States;31/10/2021;2021-W44;744729;8915;2180.54;26.1
China;07/11/2021;2021-W45;5696;0;4;0
Germany;07/11/2021;2021-W45;100944;1672;1200.48;19.88
India;07/11/2021;2021-W45;460791;2605;323.27;1.83
United States;07/11/2021;2021-W45;752136;7407;2202.23;21.69
China;14/11/2021;2021-W46;5697;1;4;0
Germany;14/11/2021;2021-W46;103230;2286;1227.67;27.19
India;14/11/2021;2021-W46;463530;2739;325.19;1.92
United States;14/11/2021;2021-W46;759665;7529;2224.27;22.04
China;21/11/2021;2021-W47;5697;0;4;0
Germany;21/11/2021;2021-W47;105940;2710;1259.9;32.23
India;21/11/2021;2021-W47;465662;2132;326.68;1.5
United States;21/11/2021;2021-W47;769941;10276;2254.36;30.09
China;28/11/2021;2021-W48;5697;0;4;0
Germany;28/11/2021;2021-W48;109033;3093;1296.68;36.78
India;28/11/2021;2021-W48;468554;2892;328.71;2.03
United States;28/11/2021;2021-W48;775631;5690;2271.02;16.66
China;05/12/2021;2021-W49;5697;0;4;0
Germany;05/12/2021;2021-W49;111898;2865;1330.75;34.07
India;05/12/2021;2021-W49;473326;4772;332.06;3.35
United States;05/12/2021;2021-W49;783935;8304;2295.34;24.31
China;12/12/2021;2021-W50;5697;0;4;0
Germany;12/12/2021;2021-W50;114411;2513;1360.64;29.89
India;12/12/2021;2021-W50;475434;2108;333.54;1.48
United States;12/12/2021;2021-W50;792521;8586;2320.47;25.14
China;19/12/2021;2021-W51;5699;2;4;0
Germany;19/12/2021;2021-W51;116405;1994;1384.35;23.71
India;19/12/2021;2021-W51;477422;1988;334.93;1.4
United States;19/12/2021;2021-W51;801586;9065;2347.02;26.54
China;26/12/2021;2021-W52;5699;0;4;0
Germany;26/12/2021;2021-W52;117692;1287;1399.66;15.31
India;26/12/2021;2021-W52;479682;2260;336.52;1.58
United States;26/12/2021;2021-W52;812587;11001;2379.23;32.21
China;02/01/2022;2022-W01;5699;0;4;0
Germany;02/01/2022;2022-W01;118721;1029;1411.9;12.24
India;02/01/2022;2022-W01;481770;2088;337.98;1.46
United States;02/01/2022;2022-W01;821733;9146;2406.01;26.78
China;09/01/2022;2022-W02;5699;0;4;0
Germany;09/01/2022;2022-W02;119591;870;1422.24;10.35
India;09/01/2022;2022-W02;483790;2020;339.4;1.42
United States;09/01/2022;2022-W02;833449;11716;2440.31;34.3
China;16/01/2022;2022-W03;5700;1;4;0
Germany;16/01/2022;2022-W03;120284;693;1430.48;8.24
India;16/01/2022;2022-W03;486066;2276;341;1.6
United States;16/01/2022;2022-W03;847829;14380;2482.41;42.1
China;23/01/2022;2022-W04;5700;0;4;0
Germany;23/01/2022;2022-W04;121151;867;1440.8;10.31
India;23/01/2022;2022-W04;489409;3343;343.34;2.35
United States;23/01/2022;2022-W04;864137;16308;2530.16;47.75
China;30/01/2022;2022-W05;5700;0;4;0
Germany;30/01/2022;2022-W05;122268;1117;1454.08;13.28
India;30/01/2022;2022-W05;494091;4682;346.63;3.28
United States;30/01/2022;2022-W05;882540;18403;2584.05;53.88
China;06/02/2022;2022-W06;5700;0;4;0
Germany;06/02/2022;2022-W06;123772;1504;1471.96;17.89
India;06/02/2022;2022-W06;501979;7888;352.16;5.53
United States;06/02/2022;2022-W06;901194;18654;2638.66;54.62
China;13/02/2022;2022-W07;5706;6;4;0
Germany;13/02/2022;2022-W07;125477;1705;1492.24;20.28
India;13/02/2022;2022-W07;508665;6686;356.85;4.69
United States;13/02/2022;2022-W07;918744;17550;2690.05;51.39
China;20/02/2022;2022-W08;5776;70;4.05;0.05
Germany;20/02/2022;2022-W08;127263;1786;1513.48;21.24
India;20/02/2022;2022-W08;511903;3238;359.12;2.27
United States;20/02/2022;2022-W08;934116;15372;2735.06;45.01
China;27/02/2022;2022-W09;6148;372;4.31;0.26
Germany;27/02/2022;2022-W09;128908;1645;1533.04;19.56
India;27/02/2022;2022-W09;513724;1821;360.4;1.28
United States;27/02/2022;2022-W09;947162;13046;2773.26;38.2
China;06/03/2022;2022-W10;7496;1348;5.26;0.95
Germany;06/03/2022;2022-W10;130514;1606;1552.14;19.1
India;06/03/2022;2022-W10;515036;1312;361.32;0.92
United States;06/03/2022;2022-W10;956840;9678;2801.6;28.34
China;13/03/2022;2022-W11;9482;1986;6.65;1.39
Germany;13/03/2022;2022-W11;132292;1778;1573.29;21.14
India;13/03/2022;2022-W11;515850;814;361.89;0.57
United States;13/03/2022;2022-W11;965446;8606;2826.79;25.2
China;20/03/2022;2022-W12;11387;1905;7.99;1.34
Germany;20/03/2022;2022-W12;134226;1934;1596.29;23
India;20/03/2022;2022-W12;516479;629;362.33;0.44
United States;20/03/2022;2022-W12;968691;3245;2836.29;9.5
China;27/03/2022;2022-W13;12743;1356;8.94;0.95
Germany;27/03/2022;2022-W13;136107;1881;1618.66;22.37
India;27/03/2022;2022-W13;521004;4525;365.51;3.17
United States;27/03/2022;2022-W13;973682;4991;2850.91;14.61
China;03/04/2022;2022-W14;13663;920;9.59;0.65
Germany;03/04/2022;2022-W14;137643;1536;1636.93;18.27
India;03/04/2022;2022-W14;521345;341;365.75;0.24
United States;03/04/2022;2022-W14;977854;4172;2863.12;12.22
China;10/04/2022;2022-W15;14262;599;10.01;0.42
Germany;10/04/2022;2022-W15;138935;1292;1652.29;15.36
India;10/04/2022;2022-W15;521685;340;365.99;0.24
United States;10/04/2022;2022-W15;981321;3467;2873.27;10.15
China;17/04/2022;2022-W16;14634;372;10.27;0.26
Germany;17/04/2022;2022-W16;139920;985;1664.01;11.71
India;17/04/2022;2022-W16;521751;66;366.03;0.05
United States;17/04/2022;2022-W16;984444;3123;2882.42;9.14
China;24/04/2022;2022-W17;14881;247;10.44;0.17
Germany;24/04/2022;2022-W17;140728;808;1673.62;9.61
India;24/04/2022;2022-W17;522193;442;366.34;0.31
United States;24/04/2022;2022-W17;986887;2443;2889.57;7.15
China;01/05/2022;2022-W18;15273;392;10.72;0.28
Germany;01/05/2022;2022-W18;141406;678;1681.68;8.06
India;01/05/2022;2022-W18;523843;1650;367.5;1.16
United States;01/05/2022;2022-W18;989129;2242;2896.14;6.56
China;08/05/2022;2022-W19;15450;177;10.84;0.12
Germany;08/05/2022;2022-W19;141947;541;1688.11;6.43
India;08/05/2022;2022-W19;524064;221;367.66;0.16
United States;08/05/2022;2022-W19;991770;2641;2903.87;7.73
China;15/05/2022;2022-W20;15642;192;10.98;0.14
Germany;15/05/2022;2022-W20;142365;418;1693.08;4.97
India;15/05/2022;2022-W20;524214;150;367.76;0.1
United States;15/05/2022;2022-W20;993736;1966;2909.62;5.76
China;22/05/2022;2022-W21;15989;347;11.22;0.24
Germany;22/05/2022;2022-W21;142695;330;1697.01;3.92
India;22/05/2022;2022-W21;524413;199;367.9;0.14
United States;22/05/2022;2022-W21;995817;2081;2915.72;6.09
China;29/05/2022;2022-W22;16658;669;11.69;0.47
Germany;29/05/2022;2022-W22;142908;213;1699.54;2.53
India;29/05/2022;2022-W22;524586;173;368.02;0.12
United States;29/05/2022;2022-W22;998446;2629;2923.42;7.7
China;05/06/2022;2022-W23;17702;1044;12.42;0.73
Germany;05/06/2022;2022-W23;143131;223;1702.19;2.65
India;05/06/2022;2022-W23;524692;106;368.1;0.07
United States;05/06/2022;2022-W23;1000425;1979;2929.21;5.79
China;12/06/2022;2022-W24;18896;1194;13.26;0.84
Germany;12/06/2022;2022-W24;143416;285;1705.58;3.39
India;12/06/2022;2022-W24;524761;69;368.14;0.05
United States;12/06/2022;2022-W24;1002709;2284;2935.9;6.69
