location;date;week;total_vaccinations;total_boosters
Germany;20/06/2021;;68172730;4975
India;20/06/2021;2020-W25;274286599;0
United States;20/06/2021;;333379912;284
China;27/06/2021;2020-W26;1185787000;0
Germany;27/06/2021;;74008003;5799
India;27/06/2021;2020-W26;318030412;0
United States;27/06/2021;;337692191;308
China;04/07/2021;2020-W27;1305499000;0
Germany;04/07/2021;;79177080;6439
India;04/07/2021;2020-W27;347378550;0
United States;04/07/2021;;341168658;334
China;11/07/2021;2020-W28;1382482000;0
Germany;11/07/2021;;83780141;7234
India;11/07/2021;2020-W28;377352501;0
United States;11/07/2021;;344551459;354
China;18/07/2021;2020-W29;1456557000;0
Germany;18/07/2021;;88020243;11399
India;18/07/2021;2020-W29;377352501;0
United States;18/07/2021;;347945224;371
China;25/07/2021;2020-W30;1550268000;0
Germany;25/07/2021;;91379761;12324
India;25/07/2021;2020-W30;435196001;0
United States;25/07/2021;;351877915;383
China;01/08/2021;2020-W31;1669527000;0
Germany;01/08/2021;;94417601;13839
India;01/08/2021;2020-W31;472223639;0
United States;01/08/2021;;356377861;437
China;08/08/2021;2020-W32;1782525000;0
Germany;08/08/2021;;97075982;16276
India;08/08/2021;2020-W32;508664759;0
United States;08/08/2021;;361288186;484
China;15/08/2021;2020-W33;1862928000;0
Germany;15/08/2021;;99614020;19789
India;15/08/2021;2020-W33;508664759;0
United States;15/08/2021;;366460189;89773
China;22/08/2021;2020-W34;1946954000;0
Germany;22/08/2021;;101663928;25617
India;22/08/2021;2020-W34;580771824;0
United States;22/08/2021;;372365945;744348
China;29/08/2021;2020-W35;2044625000;0
Germany;29/08/2021;;103366171;35875
India;29/08/2021;2020-W35;632587851;0
United States;29/08/2021;;378546537;1409706
China;05/09/2021;2020-W36;2107445000;0
Germany;05/09/2021;;104821777;105565
India;05/09/2021;2020-W36;684515513;0
United States;05/09/2021;;384258974;2089742
China;12/09/2021;2020-W37;2148120000;0
Germany;12/09/2021;;106165572;239608
India;12/09/2021;2020-W37;740278136;0
United States;12/09/2021;;389063721;2593172
China;19/09/2021;2020-W38;2177638000;0
Germany;19/09/2021;;107605594;430590
India;19/09/2021;2020-W38;804778696;0
United States;19/09/2021;;393890824;3091160
China;26/09/2021;2020-W39;2200202000;0
Germany;26/09/2021;;108988775;665911
India;26/09/2021;2020-W39;855791746;0
United States;26/09/2021;;398708697;4147464
China;03/10/2021;2020-W40;2213691000;0
Germany;03/10/2021;;110055608;882457
India;03/10/2021;2020-W40;906155473;0
United States;03/10/2021;;405558325;7430245
China;10/10/2021;2020-W41;2221245000;0
Germany;10/10/2021;;111051308;1122213
India;10/10/2021;2020-W41;951139832;0
United States;10/10/2021;;411684148;10486481
China;17/10/2021;2020-W42;2232088000;0
Germany;17/10/2021;;112030028;1400889
India;17/10/2021;2020-W42;976344696;0
United States;17/10/2021;;417150471;13214532
China;24/10/2021;2020-W43;2246217000;0
Germany;24/10/2021;;112998643;1734669
India;24/10/2021;2020-W43;1022267850;0
United States;24/10/2021;;423237304;16718578
China;31/10/2021;2020-W44;2274072000;0
Germany;31/10/2021;;114157653;2253651
India;31/10/2021;2020-W44;1062631351;0
United States;31/10/2021;;432682634;23237588
China;07/11/2021;2020-W45;2330726000;0
Germany;07/11/2021;;115464886;2994362
India;07/11/2021;2020-W45;1083142285;0
United States;07/11/2021;;442506916;29668121
China;14/11/2021;2020-W46;2389568000;0
Germany;14/11/2021;;117433404;4293167
India;14/11/2021;2020-W46;1122889436;0
United States;14/11/2021;;452850774;35524334
China;21/11/2021;2020-W47;2437252000;0
Germany;21/11/2021;;120317099;6430538
India;21/11/2021;2020-W47;1168057227;0
United States;21/11/2021;;463719983;42234591
China;28/11/2021;2020-W48;2492041000;0
Germany;28/11/2021;;125305443;10293981
India;28/11/2021;2020-W48;1223194701;0
United States;28/11/2021;;471524229;47013457
China;05/12/2021;2020-W49;2553028000;0
Germany;05/12/2021;;131781710;15694332
India;05/12/2021;2020-W49;1278763558;0
United States;05/12/2021;;484289046;54515952
China;12/12/2021;2020-W50;2612218000;0
Germany;12/12/2021;;139248140;22162583
India;12/12/2021;2020-W50;1331399226;0
United States;12/12/2021;;496026495;61634398
China;19/12/2021;2020-W51;2684290000;0
Germany;19/12/2021;;147199901;28861055
India;19/12/2021;2020-W51;1376428862;0
United States;19/12/2021;;506593781;68391646
China;26/12/2021;2020-W52;2769530000;0
Germany;26/12/2021;;151365584;32243112
India;26/12/2021;2020-W52;1414731603;0
United States;26/12/2021;;514683134;73527448
China;02/01/2022;2021-W01;2847898000;0
Germany;02/01/2022;;154149145;34483245
India;02/01/2022;2021-W01;1456586234;0
United States;02/01/2022;;522418645;78158086
